Winner,Moves,Normal,Mean,STD Dev
White,7,0.00563068,49.72,46.23
White,7,0.00563068,49.72,46.23
White,7,0.00563068,49.72,46.23
White,8,0.005743019,49.72,46.23
White,8,0.005743019,49.72,46.23
White,8,0.005743019,49.72,46.23
White,9,0.005854858,49.72,46.23
White,9,0.005854858,49.72,46.23
White,9,0.005854858,49.72,46.23
White,10,0.005966083,49.72,46.23
White,10,0.005966083,49.72,46.23
White,10,0.005966083,49.72,46.23
White,10,0.005966083,49.72,46.23
White,11,0.006076578,49.72,46.23
White,11,0.006076578,49.72,46.23
White,11,0.006076578,49.72,46.23
White,11,0.006076578,49.72,46.23
White,12,0.006186223,49.72,46.23
White,12,0.006186223,49.72,46.23
White,13,0.006294901,49.72,46.23
White,13,0.006294901,49.72,46.23
White,13,0.006294901,49.72,46.23
White,14,0.006402492,49.72,46.23
White,15,0.006508875,49.72,46.23
White,16,0.006613931,49.72,46.23
White,16,0.006613931,49.72,46.23
White,16,0.006613931,49.72,46.23
White,16,0.006613931,49.72,46.23
White,16,0.006613931,49.72,46.23
White,17,0.006717538,49.72,46.23
White,17,0.006717538,49.72,46.23
White,18,0.006819577,49.72,46.23
White,19,0.006919928,49.72,46.23
White,20,0.00701847,49.72,46.23
White,20,0.00701847,49.72,46.23
White,20,0.00701847,49.72,46.23
White,21,0.007115085,49.72,46.23
White,21,0.007115085,49.72,46.23
White,22,0.007209657,49.72,46.23
White,22,0.007209657,49.72,46.23
White,23,0.007302068,49.72,46.23
White,25,0.007479951,49.72,46.23
White,26,0.0075652,49.72,46.23
White,26,0.0075652,49.72,46.23
White,27,0.007647841,49.72,46.23
White,28,0.007727769,49.72,46.23
White,28,0.007727769,49.72,46.23
White,29,0.007804878,49.72,46.23
White,30,0.00787907,49.72,46.23
White,32,0.008018313,49.72,46.23
White,32,0.008018313,49.72,46.23
White,32,0.008018313,49.72,46.23
White,33,0.008083179,49.72,46.23
White,35,0.008202968,49.72,46.23
White,36,0.008257728,49.72,46.23
White,36,0.008257728,49.72,46.23
White,36,0.008257728,49.72,46.23
White,36,0.008257728,49.72,46.23
White,39,0.008400596,49.72,46.23
White,40,0.008440864,49.72,46.23
White,43,0.008538822,49.72,46.23
White,43,0.008538822,49.72,46.23
White,44,0.008563709,49.72,46.23
White,45,0.008584651,49.72,46.23
White,45,0.008584651,49.72,46.23
White,47,0.008614587,49.72,46.23
White,49,0.008628464,49.72,46.23
White,51,0.008626204,49.72,46.23
White,54,0.008592607,49.72,46.23
White,59,0.008457389,49.72,46.23
White,59,0.008457389,49.72,46.23
White,60,0.008418776,49.72,46.23
White,60,0.008418776,49.72,46.23
White,61,0.008376419,49.72,46.23
White,63,0.008280711,49.72,46.23
White,63,0.008280711,49.72,46.23
White,64,0.008227492,49.72,46.23
White,65,0.00817079,49.72,46.23
White,73,0.00760189,49.72,46.23
White,74,0.007517775,49.72,46.23
White,91,0.005792296,49.72,46.23
White,96,0.005228402,49.72,46.23
White,99,0.004889241,49.72,46.23
White,104,0.004331431,49.72,46.23
White,112,0.00348248,49.72,46.23
White,119,0.002807504,49.72,46.23
White,119,0.002807504,49.72,46.23
White,132,0.001770655,49.72,46.23
White,143,0.001126996,49.72,46.23
None,151,0.000783032,49.72,46.23
None,151,0.000783032,49.72,46.23
None,151,0.000783032,49.72,46.23
None,151,0.000783032,49.72,46.23
None,151,0.000783032,49.72,46.23
None,151,0.000783032,49.72,46.23
None,151,0.000783032,49.72,46.23
None,151,0.000783032,49.72,46.23
None,151,0.000783032,49.72,46.23
None,151,0.000783032,49.72,46.23
None,151,0.000783032,49.72,46.23
